trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1241,False,"{'a': 0.1, 'e': 0.09277620459766088}",25,15,18.28222550856379,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1242,False,"{'a': 0.1, 'e': 0.007090123798581999}",20,0,33.92623462447542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1243,False,"{'a': 0.1, 'e': 0.10688561002149863}",20,13,2.347887258155273,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1244,False,"{'a': 0.1, 'e': 0.2056131305607797}",20,8,-18.70491171645154,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1245,False,"{'a': 0.1, 'e': 0.3022862326661481}",30,10,-9.429432041187649,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
1246,False,"{'a': 0.1, 'e': 0.39593899065726024}",20,3,-37.52451987389097,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
1247,False,"{'a': 0.1, 'e': 0.4856356571337673}",25,11,0.03541149339916205,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1248,False,"{'a': 0.1, 'e': 0.5704800126539865}",30,0,3.3723218634941485,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
1249,False,"{'a': 0.1, 'e': 0.6496243204633991}",20,5,-3.2095021259911842,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
1250,False,"{'a': 0.1, 'e': 0.7222777967999807}",20,0,-6.179852292730878,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1251,False,"{'a': 0.1, 'e': 0.7877145121442345}",25,5,-158.14691761497895,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",1
1252,False,"{'a': 0.1, 'e': 0.8452806444669503}",20,0,-125.28919402049391,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
1253,False,"{'a': 0.1, 'e': 0.8944010120027769}",25,12,-95.25109078013482,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 2}",1
1254,False,"{'a': 0.1, 'e': 0.9345848202763448}",20,0,-93.05327989170041,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1255,False,"{'a': 0.1, 'e': 0.9654305659583742}",30,0,-86.91970076103591,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
1256,False,"{'a': 0.1, 'e': 0.9866300485542645}",20,2,-113.44308167714985,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 2}",1
1257,False,"{'a': 0.1, 'e': 0.9979714498415359}",20,0,-96.07749756215776,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
1258,False,"{'a': 0.1, 'e': 0.9993414502874913}",25,0,-106.87546869910999,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
1259,False,"{'a': 0.1, 'e': 0.9907263613005374}",20,0,-113.64889821804452,"{0: 8, 1: 4, 2: 5, 3: 3, 4: 0}",0
1260,False,"{'a': 0.1, 'e': 0.9722122620020642}",30,0,-178.08875816926815,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
1261,False,"{'a': 0.1, 'e': 0.9439841391523142}",25,0,-146.74429733954858,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
1262,False,"{'a': 0.1, 'e': 0.906324038823819}",30,0,-139.80551466268125,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
1263,False,"{'a': 0.1, 'e': 0.8596082482902975}",30,0,-208.19927014768118,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
1264,False,"{'a': 0.1, 'e': 0.8043035362885604}",20,11,6.342956761209692,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1265,False,"{'a': 0.1, 'e': 0.7409624892196374}",30,0,-122.55772892230046,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
1266,False,"{'a': 0.1, 'e': 0.6702179898880674}",25,15,-48.31723387797971,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
1267,False,"{'a': 0.1, 'e': 0.5927768939461374}",20,10,16.89572503982324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1268,False,"{'a': 0.1, 'e': 0.5094129672258985}",20,7,-24.178554740297646,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
1269,False,"{'a': 0.1, 'e': 0.420959154526665}",30,3,-11.705911941861057,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
1270,False,"{'a': 0.1, 'e': 0.3282992571060098}",20,0,17.04385779293875,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1271,False,"{'a': 0.1, 'e': 0.23235910202965793}",25,14,-1.8875510678927352,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1272,False,"{'a': 0.1, 'e': 0.13409729161351916}",20,13,14.762309943943787,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1273,False,"{'a': 0.1, 'e': 0.03449562538626333}",25,11,26.42639189750575,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1274,False,"{'a': 0.1, 'e': 0.06545070972712848}",20,8,20.4124436670785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1275,False,"{'a': 0.1, 'e': 0.16474308298404083}",20,14,-2.006099996598163,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1276,False,"{'a': 0.1, 'e': 0.2623893978125999}",25,11,-50.53847511469978,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
1277,False,"{'a': 0.1, 'e': 0.3574140045126324}",20,15,11.021128324761724,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1278,False,"{'a': 0.1, 'e': 0.44886744862492334}",20,13,-28.371337709042333,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1279,False,"{'a': 0.1, 'e': 0.5358359575664181}",30,13,-60.79305378327009,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
1280,False,"{'a': 0.1, 'e': 0.6174505707437155}",25,15,-16.926219813233985,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
1281,False,"{'a': 0.1, 'e': 0.6928958219201651}",25,10,-81.74064366201763,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 1}",1
1282,False,"{'a': 0.1, 'e': 0.7614178870848962}",20,0,-190.73309064198455,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
1283,False,"{'a': 0.1, 'e': 0.8223321164131824}",25,0,-140.37273578386922,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
1284,False,"{'a': 0.1, 'e': 0.8750298750611081}",20,4,-55.17923758932109,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 0}",1
1285,False,"{'a': 0.1, 'e': 0.9189846244438445}",20,0,-106.984953044755,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
1286,False,"{'a': 0.1, 'e': 0.953757183235068}",25,0,-85.35627058159972,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
1287,False,"{'a': 0.1, 'e': 0.9790001155216165}",20,0,-115.85981315012575,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
1288,False,"{'a': 0.1, 'e': 0.9944612022682896}",35,1,-147.5258154715285,"{0: 23, 1: 5, 2: 3, 3: 0, 4: 3}",1
1289,False,"{'a': 0.1, 'e': 0.9999859614070618}",25,2,-98.8700775460071,"{0: 14, 1: 6, 2: 1, 3: 0, 4: 2}",1
